ID,model_ID,model,B_0,B_1,B_2,B_3,N_max,N_0,r_max,t_lag,AIC/AIC_c,BIC,R_2
1,1,linear,-1.1206117766776222,0.000548886860079882,0.0,0.0,0.0,0.0,0.0,0.0,-43.8036136083945,-39.16206519568797,-0.8869376904080484
1,2,quadratic,-1.4146885296500065,0.004925527026474216,-9.442638098781488e-06,0.0,0.0,0.0,0.0,0.0,-52.327544739863576,-47.29670825976365,-0.6827836432800254
1,3,cubic,-1.6230832658326695,0.012150218849052584,-4.984778203613953e-05,5.7327277766819e-08,0.0,0.0,0.0,0.0,-79.99323725529743,-74.89096616497645,0.5091949851456625
1,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,gompertz,0.0,0.0,0.0,0.0,-0.9028326562960249,-2002.929287802688,113.18918116400982,-128.61618823866723,-78.22922205952736,-73.12695096920638,0.4796867423728014
1,6,baranyi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,buchanan,0.0,0.0,0.0,0.0,-0.8969473734467346,-2.0434330224000234,0.041083187031125595,-15.296204359535432,-79.65576177992648,-74.5534906896055,0.5114733991740363
2,1,linear,-1.3496541473455146,0.003540764274117363,0.0,0.0,0.0,0.0,0.0,0.0,-32.52630112966007,-29.402150526353438,-0.586824065223402
2,2,quadratic,-1.4884192301235897,0.018852032831155684,-0.00011999714252944882,0.0,0.0,0.0,0.0,0.0,-55.03812115449403,-52.387738531903366,0.5748459552136289
2,3,cubic,-1.600335843324456,0.040478677926642524,-0.0005475514431484337,2.0254643058764613e-06,0.0,0.0,0.0,0.0,-61.26439635730131,-59.724145351790256,0.7751030030232973
2,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,gompertz,0.0,0.0,0.0,0.0,-0.9504399702366766,-2.668086446826208,0.30184934122839807,-6.30521142805652,-65.14148377153559,-63.60123276602454,0.8264312537342039
2,6,baranyi,0.0,0.0,0.0,0.0,-0.9504188235463473,-1.8424418769032584,0.24368440473367722,-1.6265813258649064,-65.221860088595,-63.68160908308394,0.8273608160395847
2,7,buchanan,0.0,0.0,0.0,0.0,-0.9491106720142563,-3.608221946407596,0.17192241134659522,-24.56579146747802,-64.40725076817668,-62.86699976266563,0.817897104247868
3,1,linear,-1.2393025250533927,0.002550924903124445,0.0,0.0,0.0,0.0,0.0,0.0,-33.838924012441495,-30.714773409134864,-0.6201555571370134
